id,target,lgb_oof
0,0,0.00022980678673008116
1,0,0.00230550406107294
2,1,0.7265288190548437
3,0,0.0016685282791337635
4,0,0.0025167886333739117
5,0,0.0034190770343086436
6,1,0.7209721552140397
7,0,0.0018647717451388038
8,0,0.010957749007056272
9,1,0.717907763732838
10,0,0.02176409384568084
11,0,0.011499116104962058
12,0,0.00038528632873530003
13,1,0.7382559574093306
14,1,0.7611169909601777
15,0,0.017533552954592958
16,0,0.4877231399966804
17,0,0.0016035818273450906
18,0,0.004294158457529836
19,0,0.0012272276730471447
20,1,0.6746787366691662
21,0,0.000741274430603307
22,0,0.7312474007541597
23,1,0.18009824935675015
24,0,0.2309245032241904
25,0,0.02221670363356047
26,0,0.0827098453025124
27,0,0.00040135920434748577
28,1,0.2967901439854404
29,0,0.06607729546845507
30,0,0.006414400612846597
31,0,0.0010291269342976779
32,1,0.3161354659799748
33,0,0.0003018103569916965
34,0,0.033574879981339685
35,0,0.011453611119861647
36,0,0.005933616470063207
37,0,0.04869463731092578
38,1,0.8176358796140007
39,0,0.9139227047141926
40,0,0.004532109982804028
41,0,0.007058667468977475
42,0,0.0013431445643972914
43,0,0.08683766852141896
44,1,0.6448208296411878
45,0,0.0031046651006155284
46,1,0.5080532937522123
47,1,0.35325727153712405
48,0,0.011885929076735517
49,0,0.28249206957862394
50,0,0.015978509930151277
51,1,0.6746354348768718
52,1,0.6981679095281805
53,0,0.056126018292916434
54,0,0.00964332109265327
55,1,0.4474915925787843
56,0,0.43505577222190717
57,0,0.0024705247292922607
58,0,0.0065090930093071615
59,1,0.6838311776152441
60,0,0.005693167748303571
61,0,0.001045730277892738
62,0,0.006856870286398259
63,0,0.1585869197630919
64,0,0.6263077592349643
65,0,0.20541443167764842
66,0,9.306919666123362e-05
67,0,0.04321282688330052
68,0,0.00022793734783930236
69,0,0.007971284555420179
70,0,9.323747050760543e-05
71,0,0.7311400175735021
72,0,0.23129968109368435
73,0,0.04251279086537553
74,0,0.7078180956179396
75,0,0.09955555534210415
76,1,0.9005731904278952
77,1,0.8092294191601223
78,1,0.8249554163259826
79,0,0.0045629946195543366
80,0,0.000533581477042304
81,0,0.016896367723167716
82,1,0.7489270284180835
83,0,0.12135840086500435
84,0,0.029016796205834007
85,0,0.009445528980015048
86,0,0.26624212812405723
87,0,0.0002867402530922436
88,0,0.000657944416808964
89,0,0.00031536929988423666
90,0,0.00044782377656782326
91,0,5.193162692036137e-05
92,0,0.005754241547908479
93,0,0.0007077846101025543
94,0,0.05511031296251253
95,1,0.19455358434834197
96,0,4.594859549136672e-05
97,0,0.0004233297378203875
98,0,0.4042799648632117
99,1,0.19493792473566535
100,0,0.009033254088508632
101,0,0.00041623839012892226
102,0,0.2917869401720116
